date	dY	dC	dL	dI
2007-04-01	0.00609898291468092	0.00262547034185445	0.00291121020745866	0.0130222486690226
2007-07-01	0.00574373110930715	0.00663999488510036	0	-0.00492017424309843
2007-10-01	0.00626271551219482	0.00394352262210695	0	-0.0162934124335203
2008-01-01	-0.00427677559003214	-0.001377580974113	0	-0.0302962266817151
2008-04-01	0.00593662593131583	0.00275326682926647	0	-0.00905361202757771
2008-07-01	-0.00526642380278375	-0.00774076415664382	-0.00291121020745866	-0.0168110210531749
2008-10-01	-0.0221334127394854	-0.00903707937676401	-0.00584796988242298	-0.0792427649682725
2009-01-01	-0.0114136313599023	-0.00253933638176917	-0.00588236990306656	-0.135785871884831
2009-04-01	-0.00178810721762801	-0.00493556855681732	-0.0029542118974315	-0.0780217172675686
2009-07-01	0.0035057715471396	0.00670391561355999	0	-0.012002089517587
2009-10-01	0.0107511353792447	-0.00110372811039738	0.0029542118974315	0.0819671315831503
2010-01-01	0.00483331022067901	0.00578326082356995	0	0.0195459582409638
2010-04-01	0.00962934982260855	0.00893120953043258	0.00588236990306656	0.052859289205089
2010-07-01	0.00768127270500329	0.00710554592720314	0.00292825977908873	0.0400026883482187
2010-10-01	0.00523736364445071	0.00611290601697689	0.00291971010333425	0.000869286424262761
2011-01-01	-0.0023748667360497	0.0038082005021991	0	-0.0146154997415051
2011-04-01	0.00674303746866656	0.00102581944143054	0.00291121020745866	0.0405934603923166
2011-07-01	-0.000223152255784953	0.00304517237516677	0	0.0110334196360151
2011-10-01	0.0111678968114646	0.00172235511833208	0	0.0751368168519821
2012-01-01	0.00835094181879015	0.00718621690473498	0.00290275965796161	0.0251026372484766
2012-04-01	0.00445341626632256	0.00175851746574729	-0.00290275965796161	0.0265599239809031
2012-07-01	0.00143924376486204	0.00202061783192065	0	0.00274797549624672
2012-10-01	0.00115573741575048	0.0039779133438369	0	-0.00220998079307666
2013-01-01	0.00981725926551569	0.00647922002730184	0.00290275965796161	0.0401702976473937
2013-04-01	0.00267278826513717	0.00285685500951338	-0.00290275965796161	0.0122397288783525
2013-07-01	0.0084778965524972	0.00405150421747713	0	0.0395327291708458
2013-10-01	0.00867964023826318	0.00877095825886975	0	0.0143951533622291
2014-01-01	-0.00345692814966014	0.00359323661112043	0	-0.00393577076211038
2014-04-01	0.0128356902291493	0.00956043655957117	0.00290275965796161	0.0455893614366154
2014-07-01	0.0120806483257816	0.00983641318831907	0	0.0267550508654537
2014-10-01	0.00504458601543334	0.0114568266765076	0.00289435802636451	0.00949284954944218
2015-01-01	0.00896454787692491	0.00764283849437319	-0.00289435802636451	0.0341718689642256
2015-04-01	0.00617494658253648	0.0068551496761593	0	0.00268385393857429
2015-07-01	0.00399446211569021	0.00702123478366801	0.00289435802636451	0.00380787399571147
2015-10-01	0.00184309172710506	0.00405737488109637	-0.00289435802636451	-0.00813949977548134
2016-01-01	0.00577846651847125	0.00752065460846651	0	-0.00998659467451368
2016-04-01	0.00320609566267294	0.00494894747771824	-0.00290275965796161	0.000635987090932488
2016-07-01	0.00706885919110434	0.00693535471661377	0	0.00466814370618529
2016-10-01	0.00552768528621073	0.00514333346389328	0	0.0300152860354324
2017-01-01	0.00485708733103607	0.00765813830958173	-0.00291121020745866	0.000639197838912864
2017-04-01	0.00558311101297804	0.00494954831181715	0.00291121020745866	0.0205617281227308
2017-07-01	0.00785431525684821	0.00675179271325099	0	0.0193783459621599
2017-10-01	0.0112074277693939	0.0108679266443179	0.00290275965796161	0.021006660001742
2018-01-01	0.00810119454916958	0.0072170946843233	0	0.0197203624332065
2018-04-01	0.00529421230376848	0.00534032913860294	0	0.00467739040882797
2018-07-01	0.00621760482522582	0.00459656506704498	0	0.0338128888489315
2018-10-01	0.00141543998318383	0.00312062782411715	0	0.00351376779044621
2019-01-01	0.00622377290726739	0.00157847488120311	0	0.0127385197182637
2019-04-01	0.00831677793289565	0.00849683044929783	-0.00290275965796161	0.0137275156577985
2019-07-01	0.0116321025809096	0.0112868419770731	0	0.00907829752034317
2019-10-01	0.00679563596805366	0.0065344854368572	-0.00291121020745866	-0.0150968914186329
2020-01-01	-0.013250619707966	-0.0170000845536489	-0.00291971010333425	-0.0189567177487806
2020-04-01	-0.0820432060402698	-0.0905165089187694	0.00873367996875452	-0.152178162494671
